source,source_RT,source_MW,target,target_RT,target_MW,score,Correlation,P-Value
4,24.166,194.10663,4112,24.166,418.35725,75,0.854283159,2.14363E-16
4,24.166,194.10663,5889,21.044,432.337,55,0.922054334,1.13909E-22
18,15.441,266.16449,4020,15.439,311.2224,59,0.781400546,1.19434E-12
18,15.441,266.16449,6718,15.44,532.32947,31,0.727202432,7.07961E-09
19,9.487,290.12225,3000,12.559,466.31403,32,0.783122749,3.5297E-18
19,9.487,290.12225,3034,13.486,524.35607,57,0.789556885,6.25118E-20
19,9.487,290.12225,3121,11.564,408.27216,57,0.853489166,1.22482E-20
19,9.487,290.12225,3285,18.815,473.35263,32,0.754797186,1.31135E-17
19,9.487,290.12225,3425,14.351,582.39821,32,0.794867601,4.8795E-19
19,9.487,290.12225,4192,15.929,698.48197,57,0.773100615,6.98335E-16
19,9.487,290.12225,4469,10.455,367.25696,24,0.761389039,4.67835E-18
19,9.487,290.12225,4500,10.816,348.21467,32,0.814010014,1.44851E-20
19,9.487,290.12225,4953,11.971,423.28309,24,0.749413231,2.40561E-14
19,9.487,290.12225,5006,16.662,756.52385,57,0.788436618,7.65616E-20
19,9.487,290.12225,5456,10.238,529.34751,57,0.736145562,1.26596E-12
19,9.487,290.12225,5596,10.803,365.24119,24,0.777182511,9.1698E-18
19,9.487,290.12225,6133,8.639,366.22522,24,0.768588776,2.87912E-11
19,9.487,290.12225,6257,15.909,715.50847,32,0.809373201,1.96061E-16
19,9.487,290.12225,6333,14.805,597.40951,24,0.726064324,1.65598E-11
19,9.487,290.12225,6626,13.935,539.36698,32,0.787775381,1.40822E-19
19,9.487,290.12225,6820,15.608,655.45097,27,0.804962481,1.17464E-21
19,9.487,290.12225,7021,10.625,394.25639,32,0.702850682,5.16426E-08
19,9.487,290.12225,7023,12.584,527.36684,32,0.777045868,1.07503E-14
19,9.487,290.12225,7088,16.644,773.5505,32,0.756212109,5.00803E-13
19,9.487,290.12225,7327,11.639,469.32476,26,0.769313058,1.21432E-16
19,9.487,290.12225,7417,9.54,380.24086,24,0.778749821,1.71919E-11
19,9.487,290.12225,7421,9.558,397.26744,32,0.801197945,1.1056E-15
19,9.487,290.12225,7437,9.782,485.3199,32,0.744804596,8.92582E-12
19,9.487,290.12225,7513,10.621,455.30926,32,0.764415761,7.57628E-13
19,9.487,290.12225,7638,13.472,568.38232,57,0.822680664,1.35896E-17
19,9.487,290.12225,7838,15.623,638.42458,27,0.802350799,1.9851E-21
19,9.487,290.12225,7907,10.663,499.33555,32,0.750183226,2.34609E-10
19,9.487,290.12225,7945,8.824,427.2779,32,0.804872921,1.30943E-13
19,9.487,290.12225,7965,16.366,713.49279,32,0.746615487,6.45127E-15
19,9.487,290.12225,8207,18.665,947.6761,32,0.818761554,3.65353E-23
19,9.487,290.12225,8331,10.669,543.36191,32,0.76760112,3.38618E-13
19,9.487,290.12225,8914,12.607,554.36681,32,0.704128531,2.84512E-09
19,9.487,290.12225,9189,13.464,585.40902,57,0.792904593,1.5835E-14
19,9.487,290.12225,9503,14.305,626.42426,57,0.762101932,4.40491E-14
19,9.487,290.12225,9565,13.456,612.40869,57,0.845085717,8.17888E-22
19,9.487,290.12225,9594,11.526,557.37754,40,0.76392896,2.85207E-11
19,9.487,290.12225,9755,11.5,601.40375,32,0.776646418,2.8956E-14
19,9.487,290.12225,9768,10.71,587.38795,32,0.868934477,2.85283E-16
19,9.487,290.12225,9775,12.577,571.39329,32,0.733277825,6.32822E-10
19,9.487,290.12225,9789,16.365,696.46607,32,0.75107296,3.62773E-15
19,9.487,290.12225,10229,13.419,629.43535,57,0.751172527,8.69366E-13
19,9.487,290.12225,10343,15.075,701.49293,57,0.83373121,2.71789E-21
19,9.487,290.12225,10731,9.218,337.24628,32,0.742979238,2.31333E-14
19,9.487,290.12225,10801,17.08,771.53459,57,0.798662315,5.36013E-20
19,9.487,290.12225,10958,11.498,645.4298,32,0.84409832,3.68745E-18
19,9.487,290.12225,11009,13.47,673.46147,57,0.800948185,1.7015E-12
19,9.487,290.12225,11174,14.252,670.45082,57,0.833632212,5.0565E-21
19,9.487,290.12225,11220,15.829,759.53474,57,0.754833111,8.50625E-18
19,9.487,290.12225,11513,11.037,543.36203,57,0.723763047,7.0866E-14
19,9.487,290.12225,11698,14.245,687.4773,57,0.852185122,8.56883E-23
19,9.487,290.12225,11811,11.918,584.3772,57,0.80514687,1.06494E-15
19,9.487,290.12225,11827,10.46,395.28827,57,0.784861353,1.45702E-15
19,9.487,290.12225,12584,8.951,425.26239,32,0.771034747,3.64411E-14
19,9.487,290.12225,12663,10.319,529.34553,57,0.713326879,3.82697E-14
19,9.487,290.12225,12716,15.025,728.49225,57,0.788358769,1.26933E-19
19,9.487,290.12225,12790,11.911,601.40394,57,0.759417489,6.84709E-15
19,9.487,290.12225,13062,12.737,659.44593,57,0.731619187,7.22958E-10
19,9.487,290.12225,13259,11.98,645.43034,57,0.714404418,1.27497E-12
19,9.487,290.12225,13840,15.01,745.51934,57,0.797452743,8.628E-19
19,9.487,290.12225,14177,14.26,731.50351,57,0.820001582,2.3021E-19
27,24.059,434.35206,2901,18.276,582.43436,25,0.883845797,3.97837E-20
27,24.059,434.35206,3010,18.227,626.46058,23,0.841960404,2.30509E-16
27,24.059,434.35206,3126,23.63,507.44942,28,0.893226049,1.67285E-29
27,24.059,434.35206,3307,16.63,460.144,32,0.878196833,5.41981E-28
27,24.059,434.35206,3341,23.637,463.42343,31,0.866143063,4.05858E-19
27,24.059,434.35206,3466,17.693,501.36638,31,0.93044119,1.66947E-37
27,24.059,434.35206,3760,20.903,454.47487,31,0.706477086,1.21471E-13
27,24.059,434.35206,3934,23.628,490.42278,45,0.806663989,1.11544E-06
27,24.059,434.35206,4182,22.254,463.42342,33,0.879650923,4.00542E-16
27,24.059,434.35206,4244,21.562,652.51273,23,0.895589518,1.29142E-25
27,24.059,434.35206,4712,23.639,491.45474,29,0.902536691,1.35749E-16
27,24.059,434.35206,5195,23.607,579.50661,29,0.857624066,3.10445E-12
27,24.059,434.35206,5346,23.973,667.55936,29,0.838355154,1.19086E-16
27,24.059,434.35206,5364,19.26,657.50255,23,0.804175783,6.9879E-10
27,24.059,434.35206,5365,19.473,481.39636,32,0.754832592,2.23163E-06
27,24.059,434.35206,5658,17.713,457.34058,33,0.835084641,9.72294E-18
27,24.059,434.35206,5694,25.019,637.54851,33,0.767911691,2.89835E-07
27,24.059,434.35206,6047,23.496,609.51669,29,0.797995244,2.47445E-10
27,24.059,434.35206,6402,16.079,527.403,35,0.930090622,1.82245E-26
27,24.059,434.35206,6484,24.473,579.50633,38,0.739667267,1.99039E-06
27,24.059,434.35206,6803,25.895,651.56419,38,0.853089062,7.28485E-13
27,24.059,434.35206,6811,16.078,510.37666,36,0.90852433,1.03981E-26
27,24.059,434.35206,7330,16.004,659.48248,21,0.934099607,3.57759E-27
27,24.059,434.35206,8104,25.293,593.52232,38,0.81511705,1.90536E-13
27,24.059,434.35206,8579,21.194,448.33251,43,0.892998986,9.0218E-22
27,24.059,434.35206,9500,21.764,468.35375,50,0.891418846,1.00273E-16
27,24.059,434.35206,10042,23.424,446.3967,63,0.777537337,3.59804E-09
27,24.059,434.35206,11254,21.563,670.54247,63,0.933220986,2.79027E-20
27,24.059,434.35206,12212,24.145,460.41219,36,0.74189072,2.24547E-07
40,13.806,414.20409,3590,18.286,564.3969,28,0.705026217,1.30629E-07
52,16.019,229.08898,149,10.664,229.0889,50,0.700104217,6.32363E-14
58,9.138,229.08896,91,10.332,229.08894,75,0.766132437,4.2154E-14
70,9.55,230.08583,917,8.682,195.06823,67,0.711575701,4.06396E-13
70,9.55,230.08583,14732,11.339,272.11587,42,0.768976561,3.16164E-16
70,9.55,230.08583,15569,11.475,230.10524,42,0.807616541,3.52655E-18
71,15.44,210.10191,78,16.849,278.15159,31,0.805746767,2.02094E-06
71,15.44,210.10191,1272,20.732,440.19982,21,0.705841855,2.99939E-08
71,15.44,210.10191,4020,15.439,311.2224,55,0.723059951,4.53756E-10
71,15.44,210.10191,6718,15.44,532.32947,31,0.786049894,9.66423E-11
78,16.849,278.15159,564,17.901,280.20371,30,0.705792033,9.19522E-06
78,16.849,278.15159,782,10.381,441.33004,52,0.926764536,1.89963E-06
78,16.849,278.15159,1412,20.073,520.24738,22,0.75922845,1.35763E-08
78,16.849,278.15159,2503,21.775,561.55968,24,0.862386369,6.02689E-08
78,16.849,278.15159,2832,21.072,414.1844,25,0.823965532,1.23195E-08
78,16.849,278.15159,3000,12.559,466.31403,27,0.777135295,2.49381E-08
78,16.849,278.15159,3068,19.083,381.43339,28,0.724230641,1.87306E-07
78,16.849,278.15159,3126,23.63,507.44942,23,0.774057405,1.26338E-07
78,16.849,278.15159,3193,18.371,511.40775,20,0.736895076,0.02351503
78,16.849,278.15159,3341,23.637,463.42343,24,0.729968291,0.000115149
78,16.849,278.15159,3421,21.102,597.5696,21,0.790582794,2.13614E-09
78,16.849,278.15159,3562,21.035,580.55433,20,0.710188178,5.28804E-06
78,16.849,278.15159,3590,18.286,564.3969,22,0.715259997,3.11004E-07
78,16.849,278.15159,3621,20.156,465.52723,33,0.765720185,3.2841E-07
78,16.849,278.15159,3736,19.835,409.46438,27,0.997091094,0.000188252
78,16.849,278.15159,4372,18.865,467.28242,30,0.770596909,6.03777E-09
78,16.849,278.15159,4712,23.639,491.45474,20,0.732587232,0.01034241
78,16.849,278.15159,4813,12.712,347.21349,28,0.725351008,3.80367E-07
78,16.849,278.15159,5889,21.044,432.337,29,0.749557113,1.87033E-06
78,16.849,278.15159,5983,21.07,389.05028,20,0.831398681,4.83395E-07
78,16.849,278.15159,6998,15.674,289.07371,28,0.836016651,1.02599E-11
78,16.849,278.15159,7379,16.946,379.32424,30,0.741041707,0.000283529
78,16.849,278.15159,7467,16.765,379.32391,23,0.760984345,4.57554E-08
78,16.849,278.15159,7545,21.7,460.31878,25,0.753038338,0.000198148
78,16.849,278.15159,8121,15.939,294.06304,50,0.710889229,1.54755E-05
78,16.849,278.15159,8493,17.697,506.32175,39,0.7312806,4.06722E-07
78,16.849,278.15159,8579,21.194,448.33251,34,0.785089948,5.5373E-06
78,16.849,278.15159,9312,14.373,353.27783,27,0.876840864,3.85074E-06
78,16.849,278.15159,9717,14.126,290.06452,30,0.812868304,1.07978E-10
78,16.849,278.15159,10080,19.926,412.36594,38,0.95825719,4.69694E-05
78,16.849,278.15159,10095,11.386,543.39851,52,0.965385031,0.00769063
78,16.849,278.15159,10778,12.605,556.40141,27,0.758508334,0.000416614
78,16.849,278.15159,11492,17.715,396.28957,34,0.743875309,5.74389E-08
78,16.849,278.15159,11708,22.238,508.45046,31,0.8777041,1.70507E-05
78,16.849,278.15159,13327,15.809,345.54153,22,0.877338194,9.88757E-12
83,10.407,446.28545,68,12.222,562.36949,100,0.882097372,1.17827E-10
89,6.931,270.1442,736,7.06,284.12345,70,0.89096888,1.20855E-15
89,6.931,270.1442,2573,18.702,582.3347,28,0.707077541,1.11796E-11
89,6.931,270.1442,3437,18.49,802.46551,21,0.785783306,9.02985E-15
89,6.931,270.1442,3763,18.583,802.46588,21,0.809605481,3.24964E-16
89,6.931,270.1442,3828,18.801,610.36609,26,0.826487043,3.99643E-18
89,6.931,270.1442,4551,18.634,687.41387,22,0.727683633,1.41232E-12
91,10.332,229.08894,222,15.578,230.07294,46,0.783094878,1.43208E-13
91,10.332,229.08894,464,17.006,229.0889,63,0.776230226,1.24617E-13
91,10.332,229.08894,501,14.916,230.07295,46,0.8070857,6.84845E-15
91,10.332,229.08894,829,15.118,229.08892,28,0.817816875,1.52712E-15
105,9.456,312.15477,229,7.551,330.16524,100,0.749598961,2.04397E-09
105,9.456,312.15477,776,9.214,314.17039,45,0.798890735,7.20754E-15
105,9.456,312.15477,1397,17.956,312.15465,34,0.787976707,8.0917E-11
109,14.746,213.24546,259,17.258,253.08894,30,0.703007814,1.59017E-14
109,14.746,213.24546,1812,20.077,354.16168,29,0.788749306,2.27429E-18
109,14.746,213.24546,2482,24.652,437.42273,28,0.700409216,5.30712E-12
109,14.746,213.24546,2974,24.428,481.44893,31,0.823748716,1.16294E-21
109,14.746,213.24546,3476,21.51,479.43416,28,0.837700403,2.16129E-21
116,16.733,243.10458,135,15.757,243.10456,80,0.860863691,8.83778E-26
116,16.733,243.10458,185,9.525,243.10456,45,0.861772992,2.00513E-21
116,16.733,243.10458,805,19.359,243.10451,70,0.799929752,1.19165E-19
116,16.733,243.10458,1214,13.329,281.08386,37,0.833695574,2.48301E-22
123,14.171,241.27676,238,15.32,241.27675,53,0.766997764,0.000526091
123,14.171,241.27676,3934,23.628,490.42278,35,0.84143644,0.000311096
123,14.171,241.27676,5365,19.473,481.39636,22,0.820672431,2.8939E-06
123,14.171,241.27676,5544,20.349,283.28732,68,0.753817296,1.112E-07
