Seednode,Targetnode,Correlation
27,4712.0,0.902536691
27,8579.0,0.892998986
27,12212.0,0.74189072
27,253.0,0.818204819
27,3760.0,0.706477086
27,4424.0,0.789201084
27,10909.0,0.727489051
27,6301.0,0.75939194
338,253.0,0.711861311
338,4424.0,0.80840275
338,10778.0,0.824031223
338,12212.0,0.754647332
338,3000.0,0.880806318
338,3760.0,0.710350287
338,6301.0,0.838757797
338,9312.0,0.904997343
338,10909.0,0.757915748
338,8579.0,0.844295208
338,4025.0,0.891041028
338,4712.0,0.875311513
338,578.0,0.865253346
338,976.0,0.849618884
1384,7719.0,0.84353047
1384,1961.0,0.902735315
1384,8579.0,0.844037346
1384,9308.0,0.828453604
1893,7719.0,0.853757862
1893,3640.0,0.874869914
1893,9308.0,0.925898848
1893,8536.0,0.881207594
1893,9423.0,0.925926089
1893,12768.0,0.950924312
2316,358.0,0.959441696
2316,803.0,0.753118382
3307,9423.0,0.980127847
3307,9308.0,0.974635152
3307,803.0,0.848530423
3307,1961.0,0.898754481
3307,3640.0,0.932953944
3307,7719.0,0.91868814
3307,8579.0,0.918744891
3307,12768.0,0.980515382
7933,803.0,0.913372125
7933,3000.0,0.906221552
7933,976.0,0.73286573
7933,358.0,0.972948872
7933,578.0,0.731247212
7933,4025.0,0.924007709
7933,9312.0,0.821900404
7933,10778.0,0.754381221
7933,8579.0,0.923017173
7933,8536.0,0.919300845
