CID,Mono_Isotopic_Weight,SMILES,Formula,score,CFM-ID_score
22638210,269.3082502,CCCCC(CC)CCNCCC(CC)CCCC,C18H39N,0.419354839,0.421
21965670,269.3082502,CCCCC(CC)CN(CC)CC(CC)CCCC,C18H39N,0.40625,0.512
14389671,269.3082502,CCCCCCCCCCCCC(CC)CN(C)C,C18H39N,0.393939394,0.634
164593634,269.3082502,CCCCC(CCCC)CCC(CC)CC(CC)N,C18H39N,0.382352941,0.223
14475555,269.3082502,CCCCCC(CC)CNCC(CC)CCCCC,C18H39N,0.375,0.732
23311647,269.3082502,CCCCCCCCCCCCCCC(CC)CN,C18H39N,0.375,0.734
22637457,269.3082502,CCCCCCCCCNCCC(CC)CCCC,C18H39N,0.371428571,0.912
117697751,269.3082502,CCCCCC(CCC)CNCC(CC)CCCC,C18H39N,0.371428571,0.912
80198287,269.3082502,CCCCCCCCCCNCC(CC)CCCC,C18H39N,0.371428571,0.912
130346793,269.3082502,CCCCCCCCC(CCCCC(CC)CC)N,C18H39N,0.363636364,0.593
